City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Mirny,62.5353,113.9611,-26.5,97,100,1.09,RU,1645069569
1,Geraldton,-28.7667,114.6,40.23,10,0,10.29,AU,1645069569
2,Cabo San Lucas,22.8909,-109.9124,21.61,63,33,5.65,MX,1645069319
3,Cayenne,4.9333,-52.3333,26.16,84,75,1.54,GF,1645069547
4,Nang Rong,14.6377,102.7914,28.2,62,60,3.24,TH,1645069570
5,New Norfolk,-42.7826,147.0587,24.4,25,2,3.13,AU,1645069571
6,Seddon,-37.8068,144.8916,27.04,54,100,5.66,AU,1645069571
7,Punta Arenas,-53.15,-70.9167,11.73,58,73,12.15,CL,1645069427
8,Ushuaia,-54.8,-68.3,9.81,66,75,5.14,AR,1645069572
9,Tena,-0.9833,-77.8167,21.13,98,100,1.01,EC,1645069572
10,Inírida,3.8653,-67.9239,24.34,85,99,0.62,CO,1645069573
11,Salalah,17.0151,54.0924,19.05,59,0,1.54,OM,1645069573
12,Tonekābon,36.8163,50.8738,7.97,85,98,1.36,IR,1645069574
13,Flinders,-34.5833,150.8552,33.78,65,99,1.79,AU,1645069393
14,Yellowknife,62.456,-114.3525,-33.73,80,0,3.09,CA,1645069575
15,Jalu,29.0331,21.5482,13.5,81,100,4.87,LY,1645069575
16,Mar del Plata,-38.0023,-57.5575,18.38,73,20,10.28,AR,1645069416
17,Nikolskoye,59.7035,30.7861,2.15,97,100,7.31,RU,1645069576
18,Hobart,-42.8794,147.3294,24.59,29,0,6.69,AU,1645069346
19,Saskylakh,71.9167,114.0833,-31.38,97,66,3.33,RU,1645069577
20,Faya,18.3851,42.4509,12.06,90,12,1.6,SA,1645069577
21,Celestún,20.8667,-90.4,23.83,80,18,4.34,MX,1645069578
22,Atuona,-9.8,-139.0333,25.24,78,21,6.71,PF,1645069578
23,Kavieng,-2.5744,150.7967,28.09,71,100,0.54,PG,1645069579
24,Winsum,53.33,6.5208,9.56,72,92,18.85,NL,1645069580
25,Avarua,-21.2078,-159.775,25.03,94,75,5.14,CK,1645069580
